HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
1764,303855,Mossman Street - 19,Stanley Tce,Mossman St,"498,093.50","6,959,399.90",-27.489014,152.9807,TARINGA,Regular with seat,Y,Medium,Easy,Easy,19/03/2012 0:00
1765,303817,Mossman Street - 19,Stanley Tce,Mossman St,"498,068.00","6,959,367.50",-27.489307,152.980442,TARINGA,Regular with seat,Y,Medium,Easy, ,19/03/2012 0:00
1766,303857,Harrys Road - 18,Stanley Tce,Harrys Rd,"498,216.00","6,959,325.50",-27.489686,152.98194,TARINGA,Regular with seat,Y,Hard,Easy,Easy,18/04/2007 0:00
1769,303811,Market Street - 28,Market St,Duke St,"497,737.70","6,959,677.80",-27.486505,152.977099,TOOWONG,Intermediate,N,,Hard,Medium,17/04/2007 0:00
1773,303804,Toowong West  Sherwood Road,Dean St,Dovercourt Rd,"498,507.90","6,959,897.50",-27.484522,152.984896,TOOWONG,Intermediate,N,Medium,Hard,Easy,17/04/2007 0:00
1776,303813,Upper Orchard St - 25,Orchard St,Soudan St,"497,976.80","6,959,862.20",-27.48484,152.979519,TOOWONG,Regular with seat,Y,,Easy,Medium,17/04/2007 0:00
1777,303792,Toowong West  Sherwood Road,Dean St,Miskin St,"498,346.40","6,959,939.90",-27.484139,152.983261,TOOWONG,Intermediate,Y,,Easy,Easy,20/12/2010 0:00
1782,303806,Elizabeth - Ivy - 22,Elizabeth St,Ivy St,"498,057.90","6,960,140.50",-27.482328,152.980341,TOOWONG,Regular,Y,Medium,Hard,Medium,6/07/2012 0:00
1783,303816,Woodstock Road - 20,Woodstock Rd,Miskin Rd,"498,386.30","6,960,016.00",-27.483452,152.983665,TOOWONG,Regular with seat,N,Hard,Hard,Hard,17/04/2007 0:00
1784,303785,Woodstock Road - 20,Woodstock Rd,Pioneer St,"498,460.40","6,959,983.30",-27.483748,152.984415,TOOWONG,Regular,N,,Medium,Medium,17/04/2007 0:00
1785,303790,Dean Street - 18,Dean St,Elizabeth St,"498,244.50","6,960,132.90",-27.482397,152.98223,TOOWONG,Intermediate,N,Medium, ,Hard,17/04/2007 0:00
1791,303788,Toowong Cemetery  - 16/15,Miskin St,BT Bus Depot,"498,408.20","6,960,524.20",-27.478864,152.983887,TOOWONG,Intermediate,N,Easy, , ,17/04/2007 0:00
1792,303767,Couldrey Street - 29,Couldery St,Trisania Dr,"498,031.60","6,961,606.30",-27.469095,152.980077,BARDON,Regular,N,Medium,Easy,Easy,17/04/2007 0:00
1793,303761,Harwood Street - 28A,Harwood St,Birdwood Tce,"498,294.50","6,961,523.40",-27.469844,152.982738,BARDON,Regular,N,Medium,Easy,Hard,17/04/2007 0:00
1794,303483,Toowong Cemetery - Zone E ,Mt Coot-Tha St,Dean St,"498,362.30","6,960,573.80",-27.478417,152.983423,TOOWONG,Intermediate,N,Medium,Easy,Easy,11/04/2007 0:00
1796,303789,Toowong Depot  Dean Street,Dean St,Wool St,"498,289.40","6,960,394.70",-27.480033,152.982685,TOOWONG,Intermediate,N,Medium,Hard,Hard,17/04/2007 0:00
