HASTUS_ID,TRANSLINK_ID,DESCRIPTION,STREET_NAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT
4,306512,Turbot St F/S Wharf St (Stop 4),Turbot St,Wharf St,"502,805.70","6,962,247.30",-27.463306,153.028396,SPRING HILL,Intermediate,N,Easy,Easy,Hard,6/05/2007 0:00
5,306524,Ann Street F/S Orient Hotel (Stop 5),Ann St,Queen St,"503,022.10","6,962,290.40",-27.462917,153.030586,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,6/07/2007 0:00
6,306558,Ann St app Wharf St (Stop 6),Ann St,Creek St,"502,880.60","6,962,169.00",-27.464013,153.029154,BRISBANE CITY,Intermediate,Y,Medium,Medium,Medium,29/05/2012 0:00
7,306559,Ann St at Anzac Square (Stop 7),Ann St,Creek St,"502,617.70","6,961,937.30",-27.466105,153.026494,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012 0:00
8,300073,Ann St app Edward St (Stop 8),Ann St,Edward St,"502,569.10","6,961,895.00",-27.466487,153.026002,BRISBANE CITY,Intermediate,Y,Hard,Medium,Easy,20/02/2012 0:00
9,306560,Ann St app KGS (Stop 9),Ann St,Edward St,"502,466.10","6,961,808.00",-27.467273,153.02496,BRISBANE CITY,Regular with seat,Y,Medium, ,Easy,20/02/2012 0:00
10,306561,Ann St at KGS (Stop 10),Ann St,Albert St,"502,368.30","6,961,727.20",-27.468003,153.02397,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,28/06/2011 0:00
11,306573,Ann St Stop 11,Ann St,George St,"502,266.70","6,961,637.10",-27.468816,153.022942,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,13/06/2007 0:00
18,306582,Adelaide St at City Hall (Stop 18),Adelaide St,George St,"502,293.90","6,961,530.70",-27.469777,153.023218,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007 0:00
19,307257,Adelaide St adj City Hall (Stop 19),Adelaide St,Albert St,"502,346.00","6,961,572.00",-27.469404,153.023745,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,13/05/2008 0:00
20,306580,Adelaide St Stop 20 at City Hall,Adelaide St,Albert St,"502,393.00","6,961,615.00",-27.469016,153.024221,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,28/06/2011 0:00
21,307255,Adelaide St @ Res Bank (Stop 21),Adelaide St,Albert St,"502,452.90","6,961,669.00",-27.468528,153.024827,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008 0:00
22,307263,Adelaide St f/s Res Bank (Stop 22),Adelaide St,Albert St,"502,469.60","6,961,683.50",-27.468397,153.024996,BRISBANE CITY,Intermediate,Y,Medium, ,Medium,28/07/2008 0:00
23,306591,Adelaide St opp DJ's (Stop 23),Adelaide St,Edward St,"502,521.60","6,961,728.90",-27.467987,153.025522,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007 0:00
24,306589,Adelaide St app Edward St (Stop 24),Adelaide St,Edward St,"502,538.10","6,961,743.40",-27.467856,153.025689,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,13/06/2007 0:00
25,306594,Adelaide St F/S Edward St (Stop 25),Adelaide St,Edward St,"502,609.50","6,961,807.20",-27.46728,153.026411,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
26,306595,Adelaide St at Anzac Sq (Stop 26),Adelaide St,Edward St,"502,620.80","6,961,817.00",-27.467191,153.026526,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
27,306598,Adelaide St F/S Creek St (Stop 27),Adelaide St,Creek St,"502,785.30","6,961,960.10",-27.465899,153.02819,BRISBANE CITY,Regular with seat,Y,,Medium,Easy,20/02/2012 0:00
28,306600,Adelaide St app Hutton L (Stop 28),Adelaide St,Hutton La,"502,808.60","6,961,980.20",-27.465718,153.028426,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012 0:00
29,306521,Adelaide St F/S Wharf St (Stop 29),Adelaide St,Wharf St,"502,941.00","6,962,095.00",-27.464681,153.029766,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012 0:00
30,306546,Adelaide St @ Macrossan St (St 30),Adelaide St,Macrossan,"503,110.00","6,962,257.30",-27.463215,153.031476,BRISBANE CITY,Regular with seat,Y,Medium, , ,29/05/2012 0:00
33,307137,Adelaide St app Wharf St (Stop 33),Adelaide St,Wharf St,"502,937.50","6,962,073.50",-27.464875,153.029731,BRISBANE CITY,Intermediate,Y,Hard,Medium,Hard,29/05/2012 0:00
34,307138,Adelaide St Creek St (rear) (Stop 34),Adelaide St,Creek St,"502,798.20","6,961,952.80",-27.465965,153.028321,BRISBANE CITY,Regular with seat,Y,,Easy,Easy,20/02/2012 0:00
35,306599,Adelaide St app Creek St (Stop 35),Adelaide St,Creek St,"502,781.80","6,961,938.60",-27.466093,153.028155,BRISBANE CITY,Regular with seat,Y,Easy,Easy,Easy,20/02/2012 0:00
36,306597,Adelaide St op Anzac Sq (r) (Stop 36),Adelaide St,Edward St,"502,676.90","6,961,847.40",-27.466917,153.027094,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012 0:00
37,306596,Adelaide St op Anzac Sq (r) (Stop 37),Adelaide St,Edward St,"502,637.90","6,961,813.40",-27.467224,153.026699,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
39,306590,Adelaide St Stop 39 at David Jones,Adelaide St,Edward St,"502,537.30","6,961,726.70",-27.468007,153.025681,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008 0:00
40,306593,Adelaide St at Broadway (Stop 40),Adelaide St,Edward St,"502,460.90","6,961,660.00",-27.468609,153.024908,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,7/08/2008 0:00
41,307139,Adelaide St app Albert St (Stop 41),Adelaide St,Albert St,"502,493.10","6,961,688.10",-27.468355,153.025234,BRISBANE CITY,Intermediate,Y,,Easy,Easy,28/08/2007 0:00
42,307178,Adelaide St f\s Albert St (Stop 42),Adelaide St,Albert St,"502,441.60","6,961,643.30",-27.46876,153.024712,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008 0:00
43,307258,Adelaide St opp City Hall (Stop 43),Adelaide St,Albert St,"502,392.90","6,961,601.00",-27.469142,153.02422,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,28/06/2011 0:00
44,306588,Adelaide St opp City Hall (Stop 44),Adelaide St,Albert St,"502,371.50","6,961,582.30",-27.469311,153.024003,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007 0:00
45,306586,Adelaide St opp City Hall (Stop 45),Adelaide St,George St,"502,323.50","6,961,540.50",-27.469688,153.023517,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/05/2008 0:00
46,306584,Adelaide St opp City Plaza (Stop 46),Adelaide St,George St,"502,307.00","6,961,523.00",-27.469846,153.02335,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007 0:00
47,306585,Adelaide St app George St (Stop 47),Adelaide St,George St,"502,281.90","6,961,504.20",-27.470016,153.023096,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,13/06/2007 0:00
48,306577,Adelaide St app Nth Quay (Stop 48),Adelaide St,North Quay,"502,208.90","6,961,438.90",-27.470606,153.022358,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,13/06/2007 0:00
56,306619,Queen St F/S Edward St (Stop 56),Queen St,Edward St,"502,712.50","6,961,745.00",-27.467841,153.027454,BRISBANE CITY,Regular with seat,N,Medium,Medium,Easy,20/02/2012 0:00
57,306620,Queen St F/S Edward St (Stop 57),Queen St,Edward St,"502,720.60","6,961,752.00",-27.467778,153.027536,BRISBANE CITY,Intermediate,Y,Medium,Hard,Easy,28/06/2011 0:00
58,306621,Queen St F/S Ped Crossing (Stop 58),Queen St,Creek St,"502,763.00","6,961,788.70",-27.467447,153.027965,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,20/02/2012 0:00
59,300074,Queen St app Creek St (Stop 59),Queen St,Creek St,"502,793.10","6,961,815.00",-27.467209,153.02827,BRISBANE CITY,Regular with seat,Y,,Easy,Medium,20/02/2012 0:00
60,306603,Queen St F/S Creek St (Stop 60),Queen St,Creek St,"502,853.80","6,961,867.90",-27.466731,153.028884,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012 0:00
61,307522,Queen St app Wharf St,Queen St,Wharf St,"502,940.80","6,961,943.70",-27.466047,153.029764,BRISBANE CITY,Regular,N,Medium,Medium,Medium,20/02/2012 0:00
63,,Eagle St app Eagle Lane (Stop 63),EAGLE ST, ,"502,963.10","6,961,844.30",-27.466944,153.02999,BRISBANE CITY,Premium, ,Easy,Easy,Medium,
67,306523,Queen St app Ann St (Orient) (St 67),Queen St,Ann St,"503,077.20","6,962,284.70",-27.462968,153.031144,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,6/07/2007 0:00
72,306605,Queen St f/s Eagle Lane (stop 72),Queen St,Eagle La,"502,925.00","6,961,911.60",-27.466337,153.029604,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Hard,20/02/2012 0:00
74,306604,Queen St app Creek St (Stop 74),Queen St,Creek St,"502,864.70","6,961,858.90",-27.466813,153.028994,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,20/02/2012 0:00
76,307256,Queen St Farside Creek St.,Queen St,Creek St,"502,785.50","6,961,789.80",-27.467437,153.028193,BRISBANE CITY,Regular with seat,N,,Medium,Medium,13/05/2008 0:00
81,306628,Elizabeth St F/S George St (Stop 81),Elizabeth St,George St,"502,442.40","6,961,359.40",-27.471323,153.024721,BRISBANE CITY,Regular with seat,Y,,Medium,Easy,15/06/2007 0:00
82,306627,Elizabeth app Albert St (r) (Stop 82),Elizabeth St,Albert St,"502,518.30","6,961,425.50",-27.470726,153.025489,BRISBANE CITY,Regular with seat,N,Medium,Medium,Hard,15/06/2007 0:00
83,306626,Elizabeth St app Albert St (Stop 83),Elizabeth St,Albert St,"502,541.00","6,961,445.30",-27.470547,153.025719,BRISBANE CITY,Regular with seat,Y,,Medium,Medium,15/06/2007 0:00
84,307140,Elizabeth St F/S Albert St (Stop 84),Elizabeth St,Albert St,"502,591.60","6,961,489.40",-27.470149,153.026231,BRISBANE CITY,Regular with seat,N,Medium,Medium,Medium,28/08/2007 0:00
85,306625,Elizabeth St at Shoe City (Stop 85),Elizabeth St,Albert St,"502,606.80","6,961,502.70",-27.470029,153.026385,BRISBANE CITY,Regular with seat,N,Medium,Easy,Easy,15/06/2007 0:00
87,306623,Elizabeth St app Edward St (Stop 87),Elizabeth St,Edward St,"502,704.80","6,961,588.40",-27.469255,153.027377,BRISBANE CITY,Regular with seat,Y,Easy,Easy,Easy,20/02/2012 0:00
89,307141,Elizabeth St rear of GPO (Stop 89),Albert St,Creek St,"502,840.80","6,961,707.20",-27.468182,153.028753,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Hard,20/02/2012 0:00
90,307253,Charlotte St app Market St (Stop 90),Charlotte St,Market St,"502,916.40","6,961,607.70",-27.46908,153.029518,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012 0:00
91,307260,Charlotte St app George St (Stop 91),Charlotte St,George St,"502,535.30","6,961,273.70",-27.472097,153.025662,BRISBANE CITY,Regular,Y,Easy,Hard,Medium,13/05/2008 0:00
93,,Alice St app George St (Stop 95A),ALICE ST, ,"502,800.70","6,961,064.40",-27.473986,153.028348,BRISBANE CITY,Intermediate,Y,Easy,Easy,Hard,
94,306638,Margaret St F/S George St (Stop 94),Margaret St,George St,"502,682.60","6,961,125.90",-27.473431,153.027153,BRISBANE CITY,Regular,Y,,Hard,Easy,20/02/2012 0:00
95,306642,Alice St app George St (Stop 95),Alice St,George St,"502,719.70","6,960,993.60",-27.474625,153.027529,BRISBANE CITY,Intermediate,Y,Medium,Hard,Hard,20/02/2012 0:00
96,306643,Alice St F/S Edward St (Stop 96),Alice St,Edward St,"502,933.40","6,961,180.50",-27.472937,153.029691,BRISBANE CITY,Intermediate,Y,,Easy,Medium,20/02/2012 0:00
97,306637,Margaret St near Albert St (Stop 97),Margaret St,Albert St,"502,750.20","6,961,185.40",-27.472893,153.027837,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012 0:00
98,306612,Margaret St F/S Edward St (Stop 98),Margaret St,Felix St,"502,973.30","6,961,380.20",-27.471134,153.030095,BRISBANE CITY,Regular,Y,Medium,Easy,Hard,20/02/2012 0:00
99,,City loop Stop Alice St (Stop 96A),ALICE ST, ,"502,833.80","6,961,093.30",-27.473725,153.028683,BRISBANE CITY,Intermediate, ,,Easy,Medium,
100,,Parliament - Margaret St (Stop 94A),Margaret St, ,"502,642.30","6,961,090.40",-27.473751,153.026745,BRISBANE CITY,Regular,N,Easy,Hard,Easy,
101,306570,William St f/s Margaret St (St 101),William St,Margaret St,"502,502.00","6,961,047.50",-27.474139,153.025325,BRISBANE CITY,Intermediate,Y,Easy,Medium,Medium,5/09/2005 0:00
103,306568,Commissariat/Casino William St after Elizabeth St,William St,Stephens La,"502,417.50","6,961,165.60",-27.473073,153.024469,BRISBANE CITY,Regular,Y,Easy,Medium,Hard,5/09/2005 0:00
104,306566,William St F/S Elizabeth St (St 104),William St,Elizabeth St,"502,302.70","6,961,271.50",-27.472117,153.023307,BRISBANE CITY,Premium,Y,Medium,Easy,Hard,29/05/2012 0:00
105,306567,William St f/s Elizabeth St (loop),William St,Elizabeth St,"502,357.80","6,961,231.40",-27.472479,153.023865,BRISBANE CITY,Regular,Y,Medium,Easy,Easy,5/09/2005 0:00
109,306564,North Quay Island (Stop 109),North Quay,Adelaide St,"502,148.30","6,961,431.90",-27.470669,153.021744,BRISBANE CITY,Intermediate,Y,,Easy,Medium,20/02/2012 0:00
114,306635,George St F/S Alice St (Stop 114),George St,Alice St,"502,661.10","6,961,004.70",-27.474525,153.026935,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,20/02/2012 0:00
115,306633,George St app Charlotte St (St 115),George St,Mary St,"502,514.60","6,961,173.10",-27.473005,153.025452,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Easy,20/02/2012 0:00
117,306575,George St app Turbot (r) (Stop 117),George St,Turbot St,"502,133.80","6,961,611.50",-27.469048,153.021597,BRISBANE CITY,Regular with seat,Y,,Easy,Medium,20/02/2012 0:00
121,306553,Roma St at Police HQ (Stop 121),Roma St,Makerston St,"501,820.60","6,961,890.10",-27.466533,153.018427,BRISBANE CITY,Intermediate,Y,,Easy,Hard,29/05/2012 0:00
122,306551,Roma St app Garrick St (Stop 122),Roma St,Garrick St,"501,754.80","6,961,909.10",-27.466361,153.017761,BRISBANE CITY,Intermediate,Y,,Easy,Easy,29/05/2012 0:00
123,306636,George St app Alice St (Stop 123),George St,Margaret St,"502,653.70","6,961,034.70",-27.474254,153.026861,BRISBANE CITY,Intermediate,N,Easy,Easy,Hard,15/06/2007 0:00
124,306552,Roma St app Rlwy Stn (r) (Stop 124),Roma St,Garrick St,"501,777.30","6,961,917.20",-27.466288,153.017988,BRISBANE CITY,Intermediate,Y,Medium,Easy,Medium,29/05/2012 0:00
125,306554,Roma St app Transit Cntre (Stop 125),Roma St,Markerston St,"501,812.60","6,961,907.00",-27.46638,153.018346,BRISBANE CITY,Intermediate,Y,,Easy,Easy,20/02/2012 0:00
130,307254,Turbot Street off ramp - 130,Magistrates La,Roma St,"502,167.20","6,961,721.30",-27.468056,153.021935,BRISBANE CITY,Regular with seat,Y,,Medium,Easy,20/02/2012 0:00
131,,Wickham Tce @ Lilley St (Stop 131),Wickhan Terrace, ,"502,059.60","6,962,238.40",-27.463388,153.020845,SPRING HILL,Intermediate, ,,Medium,Hard,
133,306505,Wickham Tce @ Bne Private Hosp (St 133),Wickham Tce,Brisbane Private Hospital,"502,218.20","6,962,020.80",-27.465352,153.022451,SPRING HILL,Regular with seat,N,Medium,Hard,Hard,10/05/2007 0:00
134,306506,Wickham Tce @ Watkins Place (134),Wickham Tce,Bartley St,"502,305.10","6,961,993.60",-27.465598,153.02333,SPRING HILL,Regular with seat,N,Medium,Hard,Medium,10/05/2007 0:00
135,306522,Upp Edward St f/s Wickham (St 135),Upper Edward St,Wickham Tce,"502,449.00","6,962,127.30",-27.46439,153.024786,SPRING HILL,Intermediate,N,Medium,Medium,Hard,6/07/2007 0:00
140,306501,Upp Edward St @ Wickham (St 140),Upper Edward St,Wickham Tce,"502,470.10","6,962,107.30",-27.464571,153.025,SPRING HILL,Intermediate,N,Medium,Hard, ,10/05/2007 0:00
141,306618,Edward St app Ann St (Stop 141),Edward St,Ann St,"502,489.80","6,961,901.10",-27.466432,153.0252,BRISBANE CITY,Regular,Y,,Hard,Easy,29/05/2012 0:00
142,306617,Edward St F/S Queen St (Stop 142),Edward St,Elizabeth St,"502,710.40","6,961,644.30",-27.46875,153.027433,BRISBANE CITY,Regular with seat,Y,Easy,Easy,Easy,20/02/2012 0:00
143,306616,Edward Street Stop 143 at Elizabeth,Edward St,Elizabeth St,"502,722.30","6,961,630.60",-27.468874,153.027554,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012 0:00
144,306615,Edward St f/s Elizabeth St (St 144),Edward St,Elizabeth St,"502,766.60","6,961,579.80",-27.469333,153.028002,BRISBANE CITY,Regular with seat,Y,,Medium,Hard,20/02/2012 0:00
145,306614,Edward St app Mary St (Stop 145),Edward St,Mary St,"502,864.30","6,961,467.50",-27.470346,153.028991,BRISBANE CITY,Regular,Y,Medium,Medium,Hard,13/06/2007 0:00
146,306613,Edward St app Margaret St (St 146),Edward St,Margaret St,"502,942.40","6,961,377.60",-27.471158,153.029782,BRISBANE CITY,Regular with seat,N,Easy,Hard,Hard,13/06/2007 0:00
148,306602,Riverside Creek St (Stop 148),Creek St,Queen St,"502,848.20","6,961,803.40",-27.467314,153.028827,BRISBANE CITY,Regular,Y,Hard,Medium,Hard,20/02/2012 0:00
149,307520,Creek St app Adelaide St (Stop 149),Creek St,Adelaide St,"502,781.60","6,961,880.00",-27.466622,153.028153,BRISBANE CITY,Regular,Y,,Easy,Medium,20/02/2012 0:00
152,306609,Eagle St at Riverside Centre (St 152),Eagle St,Eagle La,"502,977.60","6,961,842.00",-27.466965,153.030137,BRISBANE CITY,Regular,N,Easy,Easy,Medium,13/06/2007 0:00
153,306610,Eagle St at Waterfront Pl (Stop 153),Eagle St,Charlotte St,"502,994.10","6,961,595.50",-27.46919,153.030305,BRISBANE CITY,Regular,Y,Medium,Easy,Medium,20/02/2012 0:00
155,306611,Eagle St app Charlotte St (Stop 155),Eagle St,Charlotte St,"502,976.20","6,961,619.70",-27.468972,153.030123,BRISBANE CITY,Intermediate,Y,Hard,Easy,Easy,20/02/2012 0:00
156,306518,Wharf St app Ann St (Stop 156),Wharf St,Ann St,"502,863.40","6,962,118.20",-27.464472,153.028981,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,29/05/2012 0:00
157,306516,Wickham Tce stand B (Stop 157),Wickham Tce,Turbot St,"502,754.80","6,962,139.70",-27.464278,153.027881,SPRING HILL,Regular with seat,N,Medium,Easy,Hard,6/05/2007 0:00
158,306517,Wickham Tce stand A (Stop 158),Wickham Tce,Turbot St,"502,751.80","6,962,124.20",-27.464418,153.027851,SPRING HILL,Intermediate,Y,,Easy,Hard,29/05/2012 0:00
159,306515,Wickham Tce stand C (Stop 159),Wickham Tce,Turbot St,"502,771.70","6,962,144.50",-27.464235,153.028052,SPRING HILL,Regular,N,,Easy,Hard,6/05/2007 0:00
162,306513,Wharf St F/S Ann St (Stop 162),Wharf St,Turbot St,"502,807.50","6,962,183.70",-27.463881,153.028415,SPRING HILL,Regular with seat,Y,,Easy,Hard,29/05/2012 0:00
163,306510,Wharf St app Leichhardt (St 163),Wharf St,St Pauls Tce,"502,630.00","6,962,388.40",-27.462033,153.026618,SPRING HILL,Intermediate,N,,Hard,Hard,6/05/2007 0:00
165,306471,Leichhardt St - The Ridge (Stop 165),Leichardt St,Henry St,"502,529.10","6,962,339.70",-27.462473,153.025597,SPRING HILL,Regular with seat,N,Medium,Easy,Medium,9/05/2007 0:00
166,306511,Wharf St app Turbot St (Stop 166),Wharf St,Turbot St,"502,765.10","6,962,255.40",-27.463233,153.027985,SPRING HILL,Intermediate,N,Medium,Medium,Hard,6/05/2007 0:00
168,306519,Wharf St F/S Adelaide St (Stop 168),Wharf St,Rich La,"502,950.60","6,962,041.10",-27.465168,153.029863,BRISBANE CITY,Intermediate,Y,Medium,Hard,Hard,29/05/2012 0:00
172,306473,St Andrews,Boundary St,Bradley St,"502,026.70","6,962,577.00",-27.460331,153.020511,SPRING HILL,Regular with seat,N,Medium,Medium,Hard,9/05/2007 0:00
178,306509,Leichhardt Street,Little Edward St,Leichardt St,"502,382.70","6,962,353.20",-27.462351,153.024115,SPRING HILL,Regular with seat,N,Medium,Hard,Medium,6/05/2007 0:00
180,306472,Queensland Transport,Boundary St,Fortescue St,"502,288.20","6,962,533.90",-27.46072,153.023158,SPRING HILL,Intermediate,Y,Easy,Hard,Hard,9/05/2007 0:00
185,307429,Fortescue Street  Spring Hill,Fortescue St,Boundary St,"502,324.30","6,962,560.50",-27.46048,153.023523,SPRING HILL,Regular,N,Easy,Hard,Hard,12/11/2008 0:00
186,307430,Water St  Spring Hill,Water St,Laisby Dr,"502,454.00","6,962,619.90",-27.459943,153.024836,SPRING HILL,Regular,N,Easy,Hard,Hard,12/11/2008 0:00
201,306538,Brunswick St @ Alfred St (Stop 201),Brunswick St,Alfred St,"503,184.30","6,963,034.90",-27.456195,153.032226,FORTITUDE VALLEY,Regular with seat,N,,Hard,Medium,6/08/2007 0:00
202,307132,Brunswick St @ Wickham St (St 202),Brunswick St,Wickham St,"503,318.70","6,962,916.60",-27.457263,153.033586,FORTITUDE VALLEY,Regular with seat,N,Medium, ,Easy,28/08/2007 0:00
204,300065,Warner St mid-block (Stop 204),Warner St,Ann St,"503,459.50","6,962,920.20",-27.45723,153.035011,FORTITUDE VALLEY,Intermediate,N,,Easy,Medium,6/07/2007 0:00
205,306533,Warner St app Ann St (Stop 205),Warner St,Ann St,"503,494.10","6,962,889.60",-27.457506,153.035362,FORTITUDE VALLEY,Premium,N,Easy,Easy,Easy,6/07/2007 0:00
206,306534,Ballow St app Ann St (Stop 206),Ballow St,Ann St,"503,565.48","6,962,940.72",-27.457044,153.036084,FORTITUDE VALLEY,Intermediate,N,,Medium,Hard,6/07/2007 0:00
207,307133,Brunswick St @ McLachlan (207),Brunswick St,McLachlan St,"503,500.40","6,962,755.40",-27.458718,153.035426,FORTITUDE VALLEY,Regular with seat,Y,,Medium, ,28/08/2007 0:00
211,307130,Brunswick St f/s Wickham (St 211),Brunswick St,Alfred St,"503,272.50","6,962,938.70",-27.457063,153.033119,FORTITUDE VALLEY,Regular with seat,N,Medium,Easy,Medium,28/08/2007 0:00
212,307131,Brunswick St @ Alfred St (Stop 212),Brunswick St,Alfred St,"503,214.70","6,962,989.90",-27.456601,153.032534,FORTITUDE VALLEY,Regular with seat,N,Easy,Medium,Medium,28/08/2007 0:00
216,300066,Valley Island (Ann St) (Stop 216),Ann St,Gipps St,"503,356.40","6,962,667.50",-27.459512,153.033969,FORTITUDE VALLEY,Intermediate,Y,Medium,Medium,Medium,28/06/2011 0:00
217,306539,Valley Island (Ann St) (Stop 217),Ann St,Gotha St,"503,259.10","6,962,568.70",-27.460404,153.032984,FORTITUDE VALLEY,Intermediate,N,,Easy,Easy,6/08/2007 0:00
218,306542,Ann St - Stop 218,Ann St,Kemp Pl,"503,288.10","6,962,580.30",-27.460299,153.033278,FORTITUDE VALLEY,Intermediate,N,Easy, ,Hard,6/08/2007 0:00
219,306540,Ann St - Stop 219,Ann St,Kemp Pl,"503,269.50","6,962,559.40",-27.460488,153.033089,FORTITUDE VALLEY,Intermediate,Y,Easy,Easy,Hard,6/08/2007 0:00
220,306543,Ann St - Stop 220,Ann St,Dodge La,"503,178.70","6,962,454.70",-27.461433,153.032171,FORTITUDE VALLEY,Intermediate,N,,Medium,Hard,6/08/2007 0:00
225,306535,Wickham St app Little St (Stop 225),Wickham St,Little St,"503,162.80","6,962,717.10",-27.459064,153.032009,FORTITUDE VALLEY,Regular with seat,N,Easy, ,Hard,6/07/2007 0:00
226,306537,Wickham St app Gotha St (Stop 226),Wickham St,Gotha St,"503,137.30","6,962,611.90",-27.460014,153.031751,FORTITUDE VALLEY,Intermediate,N,Medium,Easy,Easy,6/07/2007 0:00
227,306536,Wickham St f/s Gotha St (Stop 227),Wickham St,Little St,"503,140.90","6,962,678.30",-27.459415,153.031788,FORTITUDE VALLEY,Regular with seat,N,,Easy,Medium,6/07/2007 0:00
228,306531,Wickham St f/s Brunswick (St 228),Wickham St,Brunswick St,"503,347.10","6,962,930.20",-27.45714,153.033874,FORTITUDE VALLEY,Regular with seat,Y,Medium,Easy,Medium,6/07/2007 0:00
230,300067,Barry Pde Stop 230 fs Gipps St,Barry Pde,Gipps St,"503,087.10","6,962,778.20",-27.458513,153.031243,FORTITUDE VALLEY,Regular with seat,N,Easy,Hard,Hard,6/07/2007 0:00
231,306526,Gotha St - 231,Gotha St,Wickham St,"503,118.30","6,962,662.40",-27.459558,153.031559,FORTITUDE VALLEY,Intermediate,N,Easy,Medium,Hard,6/07/2007 0:00
232,300000,Fortitude Valley  St Paul's Tce (St 232),St Pauls Tce,Amelia St,"503,201.80","6,963,154.50",-27.455115,153.032403,FORTITUDE VALLEY,Intermediate,N,,Easy,Medium,10/05/2007 0:00
235,306499,St Pauls Tce app Boundary (St 235),St Pauls Tce,Boundary St,"502,692.00","6,962,551.30",-27.460562,153.027245,SPRING HILL,Intermediate,N,Medium,Medium,Hard,10/05/2007 0:00
236,306527,Gotha/St Pauls (Stop 236),Gotha St,Agnes St,"502,953.10","6,962,811.80",-27.45821,153.029887,FORTITUDE VALLEY,Regular with seat,N,Easy,Hard,Hard,6/07/2007 0:00
237,306494,St Pauls Tce app Union (Stop 237),St Pauls Tce,Isaac St,"502,685.10","6,962,564.60",-27.460442,153.027175,SPRING HILL,Intermediate,N,,Medium,Hard,10/05/2007 0:00
238,306498,St Pauls Terrace (Stop 238),St Pauls Tce,Warren St,"502,902.60","6,962,789.80",-27.458408,153.029376,FORTITUDE VALLEY,Intermediate,N,Hard,Hard,Medium,10/05/2007 0:00
239,306495,St Pauls Terrace (Stop 239),St Pauls Tce,Quarry St,"502,832.20","6,962,731.80",-27.458932,153.028663,SPRING HILL,Regular,N,Medium,Hard,Hard,10/05/2007 0:00
240,306497,Fortitude Valley/St Paul's Terrace (St 240),St Pauls Tce,Julia St,"503,257.90","6,963,197.10",-27.454731,153.03297,FORTITUDE VALLEY,Regular,N,Easy,Medium,Hard,10/05/2007 0:00
241,301589,Evelyn Street - 10,Breakfast Creek Rd,Evelyn St,"504,218.90","6,964,115.20",-27.446439,153.042693,NEWSTEAD,Intermediate,N,Easy,Easy,Easy,3/05/2007 0:00
244,301562,Knapp Street - 8,Wickham St,Knapp St,"503,948.20","6,963,590.70",-27.451175,153.039955,FORTITUDE VALLEY,Regular with seat,N,Easy,Easy,Medium,3/05/2007 0:00
245,301563,Riverpark - 9,Breakfast Creek Rd,Cowlishaw St,"504,190.60","6,963,931.90",-27.448094,153.042407,NEWSTEAD,Intermediate,N,Easy,Easy,Hard,3/05/2007 0:00
